Variable,Modelo,MAE_Test,RMSE_Test,MAPE_Test,R2_Test
Demanda,XGBoost,50060.2421875,77148.1541969735,4.769520356713259,0.6382935163858678
Henry Hub,XGBoost,0.2677374679020473,0.568090493139862,8.19557523930698,0.5704624512700769
TTF,XGBoost,2.6547093092237204,4.090381547749787,6.670777989345593,0.5551799144671706
